"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD"
"WET",1.636,1.182,4.5,2,0.955,3.045,2.524,3.143,2.333,3.238,2.429,1.761,1.563,0.964,1.976,1.253,1.939,1.834,1.682,1.826,1.814,1.805
"WHAT",1.682,0.636,0.682,1.182,0.636,1.364,0.19,0.524,2.429,2.048,0.238,2.033,1.649,1.644,1.736,1.649,1.677,0.512,0.928,2.204,2.224,0.539
"WHEN",0.647,0,0,0.882,0,0.824,0.368,0.263,1.947,0.737,0.526,0.996,0,0,1.536,0,1.237,1.012,0.733,1.84,1.24,1.073
"WHERE",1.842,0.263,0.842,0.842,1,2.947,1.45,1.15,2.5,1.55,0.75,1.922,0.806,1.537,1.74,1.374,2.172,1.959,1.599,2.283,2.089,1.41
"WHITE",0.3,0,0.05,0,0,4.6,0.4,0.65,2.8,0.4,0.5,0.801,0,0.224,0,0,1.188,1.273,1.496,2.191,0.883,1.395
"WHO",1.938,0.125,0.688,0.188,0.25,2.25,0.217,0.522,1.826,1.043,0.348,1.526,0.5,1.195,0.544,0.683,1.77,0.671,1.238,1.969,1.551,1.027
"WHY",2.312,0.5,0.625,1.188,0.438,1.562,0.15,0.6,1.45,1.25,0.15,2.089,1.317,0.885,1.424,0.892,1.632,0.671,1.231,2.012,1.832,0.671
"WILL",2.143,0.19,0.952,2.429,0.19,2.571,0.789,1.368,3,1.684,0.842,1.931,0.873,1.717,2.249,0.873,2.039,1.398,1.606,2.16,1.887,1.385
"WIND",3.062,0,3.688,0.25,0.625,1.062,2.368,3.105,3.526,2.368,2.842,1.611,0,1.662,0.775,1.088,1.526,2.033,1.629,1.679,2.033,1.834
"WINDOW",0.765,0.118,2.412,0.118,0.118,4.706,0.35,2.5,3.3,0.45,0.55,1.147,0.485,1.938,0.485,0.485,0.686,0.933,1.906,2.003,1.395,0.887
"WIPE",0.824,0.059,3.882,0.588,0.353,3.176,0.4,4.2,0.85,0.4,0.95,1.334,0.243,1.219,1.228,0.996,1.59,0.821,1.436,1.387,0.995,1.234
"WISH",2.583,0,0.042,2.375,0,0.958,0.3,0.55,3.3,1.75,0.4,2.185,0,0.204,1.907,0,1.459,0.801,1.191,1.625,1.773,0.883
"WITH",2.562,1.188,2.125,1.438,1.188,3.5,0.7,0.7,2.05,0.5,0.5,1.896,1.797,1.893,1.896,1.721,1.826,1.218,1.174,1.932,1.147,1
"WOLF",2.722,0.556,1.778,0.389,0.722,4.111,0.545,0.955,3.045,1.091,0.364,2.321,1.149,1.987,1.243,1.565,1.906,1.184,1.253,2.081,1.77,0.79
"WOOD",0.579,0.316,3.368,0.368,1.895,4.263,1.35,2.75,2.5,0.35,0.5,0.961,0.82,1.606,1.116,1.629,1.098,1.927,2.149,2.065,0.813,1.235
"WRITE",1.116,0.279,3.163,1.186,0.256,3.651,0.227,4.727,2.364,0.273,0.409,1.636,1.054,1.772,1.763,0.875,1.771,0.752,0.703,2.06,0.767,0.854
"YARD",0.667,0.167,2.056,0.444,1.667,4.778,2.19,1.714,3.19,0.333,0.81,1.455,0.514,2.1,1.149,2.029,0.428,2.015,2.053,2.04,1.111,1.365
"YELLOW",0.176,0.294,0.176,0.353,0.235,4.588,0.105,0.263,3.263,0.158,0.263,0.529,0.849,0.529,0.702,0.752,0.87,0.315,0.806,1.939,0.501,0.562
"YES",4.222,0.167,0.278,1.944,0.111,2.111,0.524,1.19,2.286,2.238,0.524,1.06,0.514,0.826,1.955,0.323,1.997,1.167,1.601,2.125,2.234,1.123
"YESTERDAY",0.833,0.278,0.083,0.944,0.167,1.028,0.469,0.5,2.844,0.625,0.5,1.521,0.779,0.368,1.511,0.561,1.63,1.295,1.32,2.127,1.385,1.32
"YOGURT",0.474,4.526,2.421,0.737,2.579,3.579,0.158,1.947,1.421,3.789,0.579,0.905,1.172,1.835,1.485,1.924,1.427,0.375,1.747,1.774,1.718,0.961
"YOU",2.5,0.556,3,3.722,1.389,3.556,3.263,3.526,4.421,3.842,3.526,2.007,1.247,1.815,1.447,1.883,1.688,2.207,2.091,1.305,1.864,2.245
"YUCKY",1.444,3,1.833,1.889,2.667,3,0.778,1.278,2.389,3.5,0.556,1.723,1.847,1.654,1.779,1.749,1.815,1.309,1.742,2.146,1.79,0.922
"ZEBRA",1.944,0.111,1.944,0.056,1.278,4,0.667,1.143,2.619,0.571,0.571,1.83,0.471,2.155,0.236,1.602,1.645,1.461,1.824,2.312,1.287,1.363
"ZIPPER",2.4,0,3.6,0.4,0,4,0.857,4,1.571,0.143,1.429,1.698,0,1.429,0.94,0,1.257,1.852,1.643,1.989,0.655,2.063
"ZOO",2.933,0.067,2.067,0.733,2.933,3.533,2.692,1.692,3.923,0.923,1,2.017,0.258,1.831,1.163,2.251,2.232,1.75,1.251,1.656,0.954,1.414
