"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD"
"PILLOW",0.529,0,4.882,1.529,1,4.706,0.35,2.55,4.5,0.45,0.8,1.281,0,0.332,1.972,1.837,0.772,0.813,1.791,1.277,0.999,1.281
"PIZZA",0.412,5,1.941,0.706,4.412,4,0,1.895,2.421,4.263,0.684,1.228,0,1.784,1.359,0.939,1.323,0,1.853,1.805,1.408,1.003
"PLANT",0.537,1.732,3.756,0.659,3.341,4.293,0.789,2.737,2.737,1.158,0.579,1.325,1.689,1.135,1.371,1.493,1.23,1.182,1.727,1.593,1.708,0.961
"PLATE",1.2,0.25,3.65,0.25,0.25,4.45,0.55,2.4,2,1.65,0.65,1.609,0.716,1.899,0.91,1.118,0.999,1.05,1.984,1.947,1.785,1.226
"PLAY",3.312,0.375,1.312,2.812,0.688,3.75,3,3.4,3.25,2.5,2.6,1.922,1.088,1.662,1.94,1.537,1.528,1.864,1.818,1.97,2.013,1.903
"PLAYGROUND",2.15,0,2.1,0.6,0.5,4.2,2.5,2.5,2.778,1.222,1.778,1.663,0,1.651,1.142,1.147,1.005,1.978,2.065,1.987,1.896,2.016
"PLEASE",2.842,0.474,0.632,1.474,0.474,1.842,0.762,1.524,2.952,3.095,0.81,1.922,1.429,1.461,1.867,1.429,1.642,1.67,1.861,1.936,2.022,1.537
"POLICE",3.444,0,0.556,0.611,0.056,4.389,0.619,1.238,2.333,1.333,0.524,1.381,0,1.042,1.145,0.236,0.916,1.532,2.095,2.153,1.853,1.289
"PONY",1.789,0.158,2.105,0.211,1.105,3.526,1.65,1.95,2.35,0.5,1.1,1.653,0.688,1.853,0.918,1.15,1.867,1.899,2.038,2.277,1.235,1.651
"POOL",0.882,0.176,3.059,0.353,1.353,4.294,2.35,2.45,2.35,1.65,2.2,1.453,0.728,2.076,1.222,1.766,1.312,2.323,2.282,2.207,2.084,2.262
"POOR",0.833,0.389,0.444,1,0.333,2.944,0.8,1.15,1.8,1.05,0.6,1.654,1.243,1.338,1.749,1.188,1.83,1.056,1.348,1.824,1.504,0.94
"POPCORN",2.688,4.188,2.188,0.812,4.062,3.812,0.053,2.684,2.158,4.316,0.684,1.778,1.515,2.04,1.601,1.389,1.515,0.229,2.187,2.007,1.6,1.108
"PORCH",0.933,0,2.733,0.333,0.467,4.4,2,0.9,0.95,0.35,1.1,1.387,0,2.086,0.9,0.834,0.632,1.919,1.683,1.468,0.933,1.619
"POTATO",0.25,4.55,3.5,0.3,3.4,4.4,0.19,2.333,2.19,3.905,1.381,0.639,1.099,1.878,1.129,1.392,0.821,0.512,1.742,1.887,1.895,1.857
"POTTY",1.562,0.062,2,1.25,2.5,3.25,1.4,1.45,1.2,0.5,2.9,1.548,0.25,1.862,1.983,1.592,1.612,1.847,1.468,1.704,1.192,1.944
"POUR",2.727,0.455,2.091,0.409,0.455,3.636,0.05,3.75,1.6,0.55,0.25,1.932,1.057,1.875,0.908,0.858,1.497,0.224,1.743,2.137,1.234,0.786
"PRESENT",1.389,0.222,1.667,1,0.278,3.5,0.714,2.429,2.571,1.524,1.095,1.754,0.647,1.91,1.237,0.575,1.79,1.554,2.204,2.249,1.914,1.841
"PRETEND",2.85,0.05,0.5,1.85,0.05,2.5,0.444,0.5,2.833,1.278,0.444,2.007,0.224,1.192,1.954,0.224,2.164,0.856,0.786,2.149,1.602,0.856
"PRETTY",0.8,0.1,0.15,1.1,0.6,5,1.1,1.15,3.1,1.6,1.55,1.436,0.308,0.489,1.889,1.314,0,1.997,1.927,2.292,2.088,2.212
"PUDDING",0.286,4.238,2.048,0.667,2.143,3.238,0.048,2.667,1.19,4.524,0.762,0.784,1.609,1.717,1.461,1.621,1.786,0.218,1.461,1.601,0.873,1.091
"PULL",1,0.056,4.389,2.222,0.056,2.389,1.571,4,0.857,0.095,1.143,1.572,0.236,1.29,1.896,0.236,2.062,1.72,1.549,1.276,0.436,1.315
"PUMPKIN",0.444,3.5,3.722,0.667,2.611,4.333,0.381,3.381,3.429,2.619,0.571,1.097,1.79,1.638,1.237,1.944,0.907,0.865,1.532,1.599,2.012,1.076
"PUPPY",3.4,0.2,3.95,0.8,2.35,4.55,1.8,3.9,3.35,1.05,1.85,1.698,0.696,1.572,1.399,1.814,0.686,1.795,1.518,1.954,1.356,1.694
"PURSE",0.333,0,3,0,0.222,4.611,0.4,2.25,1.7,0.75,0.7,0.767,0,2.058,0,0.548,0.979,1.188,1.97,2.08,1.585,1.302
"PUSH",0.5,0,3.944,1.389,0,2.833,2.842,4.421,2.211,0.684,2.526,1.295,0,1.259,1.461,0,1.79,2.007,1.261,2.016,1.108,2.245
"PUT",0.941,0.471,2.471,0.294,0.471,3.176,1.1,4.05,1.55,0.55,0.85,1.298,0.943,1.663,0.772,1.125,1.425,1.553,1.538,1.731,1.538,1.461
"PUZZLE",0.632,0.053,3,0.684,0.105,4.526,0,3.176,3.882,0.412,0.059,1.342,0.229,1.944,1.157,0.459,1.172,0,1.944,1.409,1.004,0.243
"QUIET",4.286,0,0.143,1.333,0,1.143,0.238,0.381,2.524,2,0.238,1.347,0,0.655,1.742,0,1.276,0.7,0.921,2.136,2.214,0.7
"RADIO",4.722,0,1.056,0.278,0,2.556,0.143,3.095,4.476,0.857,0.286,0.826,0,1.765,0.826,0,2.007,0.478,1.841,1.209,1.424,0.784
"RAIN",3.375,1.062,3.625,0.5,2.312,4.062,1.895,2.421,3.579,1.263,2.053,1.31,1.289,1.36,1.211,1.621,1.237,1.941,1.924,1.742,1.759,2.121
"RAISIN",0.19,4.667,2.667,0.667,2.762,3.524,0.25,2.55,1.05,3.55,1.1,0.512,1.111,1.906,1.354,1.921,1.569,0.716,2.038,1.82,2.064,1.683
"READ",1.333,0.111,0.444,0.5,0.111,4.5,0.35,1.3,4.6,1.5,0.1,1.68,0.471,0.784,1.043,0.471,1.043,1.137,1.809,0.94,1.821,0.308
"RED",0.389,0.222,0.222,0.667,0.167,4.556,0.059,0.294,3.412,0.471,0.235,0.916,0.548,0.647,1.372,0.514,0.922,0.243,0.772,2.093,1.068,0.664
"REFRIGERATOR",2.056,0.611,2.611,0.556,1.167,3.778,0.611,3.278,1.833,0.778,0.444,1.83,1.195,1.787,1.149,1.618,1.437,0.916,1.934,1.948,1.437,0.705
"RIDE",1.2,0.15,1.65,1.4,0.35,2.45,3,2.7,2,1.05,2.6,1.542,0.671,1.565,1.667,0.813,2.038,1.835,1.867,1.919,1.395,2.062
"RIP",2.529,0,1.118,0.706,0,2.176,0.316,3.211,1,1.316,0.526,1.736,0,1.453,1.404,0,2.007,0.946,2.175,1.667,1.857,1.124
"ROCK",2,0.45,3.55,0.95,0.7,4.1,1.588,2.647,1.412,0.647,0.706,2,1.05,1.905,1.572,1.38,1.586,1.661,2.09,1.839,1.412,1.532
"ROOF",0.105,0,1,0,0,4.105,1.1,1.35,2.1,0.45,0.4,0.315,0,1.453,0,0,1.41,1.683,1.814,2.075,1.276,1.188
"ROOM",0.8,0,1.5,0.3,1.4,3.95,2.167,1.944,2.556,0.833,1.444,1.399,0,1.821,0.801,1.569,1.468,2.036,1.984,2.036,1.618,1.947
"ROOSTER",3.706,0.235,1.118,0.059,0.647,4.294,0.235,1.118,2.941,0.353,0.294,1.611,0.562,1.317,0.243,0.862,1.047,0.752,1.616,2.045,0.862,0.849
"RUN",1.611,0.111,1,2.389,0.333,3.556,4.955,2.591,2.455,1.636,2.364,2.062,0.471,1.645,2.355,1.029,1.886,0.213,1.943,2.064,1.916,1.989
"SAD",2.294,0.294,0.647,3.353,0.294,2.765,0.905,1.286,4.143,2.667,1.81,2.024,1.213,1.412,2.234,1.213,1.64,1.64,1.848,1.558,2.153,1.99
"SALT",0.438,4.5,2.188,1,0.875,3.25,0.211,1.474,1.579,3.474,0.263,0.964,0.894,1.682,1.549,1.36,1.528,0.535,1.541,1.539,2.038,0.562
"SAME",2.667,1.833,2.278,1.222,1.944,3.333,0.522,0.826,1.739,0.696,0.348,2.029,2.149,2.164,1.927,2.209,2.058,1.123,1.466,1.959,1.222,0.832
"SANDWICH",0.526,4.421,3.474,1.368,3.263,3.895,0.222,3.111,2.333,4.611,1.778,0.905,1.121,1.467,1.978,1.593,1.41,0.732,1.53,1.715,0.778,1.768
"SAUCE",0.35,4.35,1.95,0.7,3.65,3.5,0.25,1.3,1.6,3.2,0.6,0.813,1.565,1.849,1.418,1.631,1.67,0.716,1.525,1.957,2.118,1.142
"SAY",3.9,0.3,0.25,1.1,0.25,1.15,0,0.2,1.7,4.05,0.25,1.447,1.129,1.118,1.774,1.118,1.843,0,0.696,1.949,1.605,0.786
"SCAR",0.279,0.233,3.86,1.349,0.209,3.907,2.227,2.955,2.682,1.409,1.909,0.959,0.895,1.338,1.811,0.804,1.493,2.181,1.963,2.056,1.919,2.068
"SCARF",0.116,0.07,3.884,0.488,0.326,3.488,0.136,1.136,3,2.045,1.273,0.544,0.338,1.651,1.183,0.68,1.844,0.64,1.49,2.138,2.171,1.83
"SCHOOL",2.556,0.056,1.167,0.778,0.833,3.5,2.05,2.25,3,1.85,1.7,1.977,0.236,1.724,1.437,1.505,1.855,1.849,1.803,1.864,1.785,1.72
"SCISSOR",1,0.167,3.056,0.444,0.222,3.444,0.6,3.2,1.35,0.25,0.25,1.372,0.707,2.1,1.149,0.943,1.886,1.314,2.042,1.814,0.786,0.786
"SEE",0.056,0,0,0.333,0,5,0,0,4.857,0.095,0,0.236,0,0,0.84,0,0,0,0,0.655,0.436,0
"SHAKE",1,0.333,2.833,2.889,0.333,2.889,2.4,4.05,2.85,1.5,2.1,1.645,1.188,1.886,1.997,1.188,1.811,2.062,1.395,2.033,2.039,1.832
"SHARE",2.158,0.421,2.105,1.263,0.421,3.368,0.429,3.048,2.286,2.286,0.476,1.922,0.961,1.663,1.327,0.961,1.461,0.87,1.987,1.927,2.077,1.078
"SHE",2.263,0.737,2.053,1.105,1.158,3.579,0.526,0.842,2.474,1.421,1,1.91,1.522,1.87,1.729,1.608,1.677,1.124,1.385,2.144,1.71,1.491
"SHEEP",3.474,0.316,2.105,0.105,1.263,4.105,0.55,2.05,2.7,0.5,0.6,1.926,0.946,2.079,0.459,1.727,1.761,1.099,1.731,1.809,1.147,1.095
"SHIRT",0.333,0.4,4.2,0.533,0.8,4.8,0.143,2.619,1.19,0.143,3.333,1.291,1.298,1.265,1.356,1.74,0.561,0.478,1.936,1.632,0.655,1.853
"SHOP",2.053,0.158,1.947,0.263,0.421,3.842,2.158,2.474,2.526,1.158,1.263,2.013,0.501,1.929,0.733,0.902,1.675,1.772,1.867,1.926,1.385,1.408
"SHORT",0.714,0.095,1.762,0.667,0.143,4.381,1.053,1.105,2.053,0.632,0.842,1.384,0.301,2.095,1.494,0.478,1.284,1.224,1.629,1.929,1.342,1.214
"SHOULDER",0.105,0.053,3.316,0.947,0.053,4.053,0.286,2.952,1.333,0.286,2.81,0.315,0.229,1.376,1.615,0.229,0.97,0.784,1.746,2.058,0.717,1.834
"SHOVEL",1,0,3.444,0.167,0.333,4,2.1,4.55,1.45,0.25,2.2,1.455,0,1.977,0.707,0.97,1.283,1.832,1.146,1.932,0.716,1.963
"SHOW",3.133,0.067,1,1.533,0.333,4.467,1,1.857,2.143,1.381,0.857,1.846,0.258,1.604,1.598,0.724,0.915,1.732,1.878,2.151,1.936,1.621
"SHOWER",2.762,0.19,3.762,1.714,1.143,3.619,4,4.389,4.167,2.833,4.056,1.513,0.512,1.044,1.953,1.424,1.284,1.572,1.29,1.505,2.149,1.474
"SICK",1.684,0.526,0.737,3.895,0.842,3.105,1.529,1.824,3.882,3.471,3.176,1.701,1.02,1.195,1.792,1.259,1.729,1.908,1.845,1.799,2.125,1.741
"SIDEWALK",0.4,0.1,2.5,0.45,0.1,4.5,4.238,0.619,2.095,0.095,0.762,0.821,0.308,1.878,1.234,0.308,0.761,1.338,1.284,2.143,0.436,1.3
"SING",4.875,0.062,0.062,2,0,2.25,0.25,0.417,2.583,4.083,1.333,0.342,0.25,0.25,2.16,0,1.949,0.622,0.996,1.676,1.621,1.723
"SINK",0.947,0,2.789,0.789,0.158,4.105,0.81,2.619,1.857,0.857,0.857,1.026,0,1.988,1.228,0.375,1.1,1.436,1.774,1.931,1.493,1.459
"SISTER",3.737,0,1.632,1.579,0.632,4.211,0.8,1.16,1.96,0.96,0.84,1.968,0,1.832,2.036,1.012,1.437,1.708,1.908,2.111,1.767,1.772
"SIT",0.611,0.194,2.306,1.417,0.222,3.194,4.211,1.263,1.368,0.263,3.684,1.337,0.889,1.895,1.888,0.959,1.737,0.976,1.593,1.571,0.733,1.701
"SKATE",1.412,0.118,2.235,1.059,0.235,3.471,3.579,1.105,1.053,0.211,1.737,1.622,0.485,1.786,1.638,0.562,1.505,2.063,1.37,1.9,0.535,1.727
"SKY",0.316,0.105,0.053,0.526,0.105,4.737,0.421,0.526,3.895,0.316,0.526,0.582,0.459,0.229,1.172,0.459,0.653,0.838,1.02,1.56,0.671,1.02
"SLED",0.429,0,1.952,0.619,0,3.905,3,3.944,3.611,0.389,2.333,0.87,0,1.83,1.322,0,1.48,2.029,1.83,1.614,1.037,2.169
"SLEEP",1.143,0,0.762,3.524,0,2.095,1.55,1.4,3.35,1.95,2.25,1.824,0,1.48,1.806,0,2.343,1.605,1.569,1.785,1.731,1.832
"SLEEPY",0.812,0,0.375,4.562,0,2,1.35,1.6,4.35,1.6,1.8,0.981,0,1.025,0.814,0,1.751,1.843,1.984,0.875,1.789,1.908
"SLOW",1.405,0.524,0.905,1.905,0.476,3.905,3.097,2.645,2.71,1.935,1.71,1.697,1.401,1.34,1.923,1.273,1.322,1.904,1.889,2.02,1.965,1.774
"SMILE",0.55,0.3,1.05,2,0.25,4.7,0.105,0.105,1.737,4.316,0.211,1.395,1.129,1.572,1.806,1.118,0.657,0.459,0.459,1.881,1.25,0.631
"SNACK",1.105,4.684,2.842,1.053,3.053,3.263,0.143,1.952,1.762,3.952,0.571,1.1,0.671,1.834,1.433,1.84,1.727,0.655,1.717,2.166,1.802,1.248
"SNEAKER",0.824,0,2.882,0.176,0.824,4.118,3.579,1.053,1.158,0.158,0.105,0.951,0,1.495,0.529,0.883,1.111,2.036,1.545,1.425,0.501,0.459
"SNOW",0.81,1.714,3.619,0.857,0.952,4.095,2.727,3,2.909,1.333,1.576,1.537,2.004,1.987,1.74,1.627,1.758,1.807,1.871,2.006,1.514,1.751
"SOAP",0.095,0.667,3.952,0.095,3.381,3.81,2.35,3.75,2.05,0.45,2.45,0.301,1.354,1.431,0.301,1.431,1.47,1.927,1.743,1.959,1.234,1.932
"SODA",1.529,4.529,1.824,0.706,1.765,3.824,0.045,1.727,1.545,3.682,0.5,1.463,1.007,1.811,1.359,1.64,1.38,0.213,1.882,1.792,1.912,1.012
"SOFA",0.389,0,4.056,0.722,0.389,4.167,2.737,2.474,1.842,0.579,3.158,0.979,0,1.056,1.364,1.195,1.098,1.759,1.775,1.979,1.575,2.007
"SOFT",0.684,0.368,4.526,0.842,0.316,1.947,1.222,3.389,1.722,1.222,1,1.057,0.684,1.172,1.608,0.749,1.615,1.478,1.787,1.565,1.555,1.372
"SOME",1.629,1.057,1.8,1,1.114,2.657,0.571,1.476,1.952,1.095,0.905,1.957,1.697,1.828,1.609,1.778,2.086,1.165,1.569,1.746,1.48,1.546
"SOUP",0.318,4.091,1.273,0.682,3.182,4.045,0.19,2.19,1.619,4.381,0.524,0.568,1.688,1.579,1.129,1.563,1.362,0.68,1.806,1.987,1.161,0.981
"SPAGHETTI",1.062,4.375,2.25,0.5,2.75,3.812,0.105,2.474,2.684,4.632,1.053,1.611,1.088,1.612,0.966,1.807,1.424,0.459,1.954,2.11,0.955,1.779
"SPILL",2,0.056,2.222,0.611,0.611,4.278,1.158,3.474,1.316,0.737,0.632,1.495,0.236,1.665,1.195,1.145,0.895,1.675,1.867,1.635,1.098,1.165
"SPLASH",2.8,0.1,2.6,0.8,0,3.05,2,3.211,1.263,0.263,1.579,1.436,0.308,1.603,1.196,0,1.572,1.795,1.718,1.368,0.733,1.742
"SPOON",0.889,0.389,4.167,0.167,0,4.333,0.238,3.571,0.952,2.667,0.19,1.53,1.195,1.383,0.707,0,1.455,0.768,1.805,1.465,2.309,0.602
"SQUIRREL",2.286,0.2,1.343,0.057,0.143,4.343,0.619,1.095,2.619,1.048,0.762,1.759,0.632,1.731,0.338,0.55,1.187,1.244,1.446,2.037,1.774,1.3
"STAIR",0.842,0.158,2.474,0.316,0.105,3.789,4,0.7,1.2,0.1,0.35,1.119,0.501,2.17,0.946,0.315,1.686,1.589,1.418,1.824,0.447,1.182
